name,seasonality1,seasonality2,location,time1,time2,price
Anchovy,"All year","",Ocean,4AM-9PM,"",200
Angelfish,May-Oct,"",River,4PM-9AM,"",3000
Arapaima,June-Sept,"",River,4PM-9AM,"",8000
Arowana,June-Sept,"",River,4PM-9AM,"",10000
"Barred Knifejaw",Mar-Nov,"",Ocean,"All day","",5000
Barreleye,"All year","",Ocean,9PM-4AM,"",15000
Betta,May-Oct,"",River,9AM-4PM,"",2500
Bitterling,Nov-Mar,"",River,"All day","",900
"Black Bass","All year","",River,"All day","",400
Blowfish,Nov-Feb,"",Ocean,9PM-4AM,"",5000
"Blue Marlin",Nov-Apr,July-Sept,Pier,"All day","",10000
Bluegill,"All year","",River,9AM-4PM,"",180
"Butterfly Fish",Apr-Sept,"",Ocean,"All day","",1000
Carp,"All year","",River,"All day","",300
Catfish,May-Oct,"",Pond,4PM-9AM,"",800
Char,Mar-June,Sept-Nov,River,4PM-9AM,"",3800
"Cherry Salmon",Mar-June,Sept-Nov,River(Clifftop),"All day","",1000
"Clown Fish",Apr-Sept,"",Ocean,"All day","",650
Coelacanth,"All year","",Ocean(Rain),"All day","",15000
Crawfish,Apr-Sept,"",Pond,"All day","",200
"Crucian Carp","All year","",River,"All day","",160
Dab,Oct-Apr,"",Ocean,"All day","",300
Dace,"All year","",River,4PM-9AM,"",240
Dorado,June-Sept,"",River,4AM-9PM,"",12000
"Football Fish",Nov-Mar,"",Ocean,4PM-9AM,"",2500
"Freshwater Goby","All year","",River,4PM-9AM,"",400
Gar,June-Sept,"",Pond,4PM-9AM,"",4800
"Golden Trout",Mar-May,Sept-Nov,River(Clifftop),4PM-9AM,"",15000
Goldfish,"All year","",Pond,"All day","",1300
"Great White Shark",June-Sept,"",Ocean,4PM-9AM,"",15000
Guppy,Apr-Nov,"",River,9AM-4PM,"",1300
"Hammerhead Shark",June-SEpt,"",Ocean,4PM-9AM,"",8000
"Horse Mackerel","All year","",Ocean,"All day","",150
Killifish,Apr-Aug,"",Pond,"all day","",200
"King Salmon",Sept,"",River(Mouth),"all day","",1800
Koi,"All year","",Pond,4PM-9AM,"",4000
Loach,Mar-May,"",River,"All day","",400
"Mitten Crab",Sept-Nov,"",River,4PM-9AM,"",2000
"Moray Eel",Aug-Oct,"",Ocean,"All day","",2000
"Neon Tetra",Apr-Nov,"",River,9AM-4PM,"",500
"Nibble Fish",May-Sept,"",River,9AM-4PM,"",1500
Oarfish,Dec-May,"",Ocean,"All day","",9000
"Ocean Sunfish",July-Sept,"",Ocean,4AM-9PM,"",4000
"Olive Flounder","All year","",Ocean,"All day","",800
"Pale Chub","All year","",River,9AM-4PM,"",200
Pike,Sept-Dec,"",River,"All day","",1800
Piranha,June-Sept,"",River,9AM-4PM,4AM-9PM,2500
"Pond Smelt",Dec-Feb,"",River,"All day","",320
"Pop-eyed Goldfish","All year","",Pond,9AM-4PM,"",1300
"Puffer Fish",July-Sept,"",Ocean,"All day","",250
Rainbowfish,May-Oct,"",River,9AM-4PM,"",800
"Ranchu Goldfish","All year","",Pond,9AM-4PM,"",4500
Ray,Aug-Nov,"",Ocean,4AM-9PM,"",3000
"Red Snapper","All year","",Ocean,"All day","",3000
"Ribbon Eel",July-Oct,"",Ocean,"All day","",600
Salmon,Sept,"",River(Mouth),"All day","",700
"Saw Shark",June-SEpt,"",Ocean,4PM-9AM,"",12000
"Sea Bass","All year","",Ocean,"All day","",400
"Sea Butterfly",Dec-Mar,"",Ocean,"All day","",1000
"Sea Horse",Apr-Nov,"",Ocean,"All day","",1100
"Snapping Turtle",Apr-Oct,"",River,9PM-4AM,"",5000
"Soft-shelled Turtle",Aug-Sept,"",River,4PM-9AM,"",3750
Squid,Dec-Aug,"",Ocean,"All day","",500
Stringfish,Dec-Mar,"",River(Clifftop),4PM-9AM,"",15000
Sturgeon,Sept-Mar,"",River(Mouth),"All day","",10000
Suckerfish,June-Sept,"",Ocean,"All day","",1500
Surgeonfish,Apr-Sept,"",Ocean,"All day","",1000
Sweetfish,July-Sept,"",River,"All day","",900
Tadpole,Mar-July,"",Pond,"All day","",100
Tilapia,June-Oct,"",River,"All day","",800
Tuna,Nov-Apr,"",Pier,"All day","",7000
"Whale Shark",June-Sept,"",Ocean,"All day","",13000
"Yellow Perch",Oct-Mar,"",River,"All day","",300
"Zebra Turkeyfish",Apr-May,July-Nov,Ocean,"All day","",500
